rating,date,reason
5,10152015,This game is awesome wow
4,10152015,Love it Dhanshu game
5,10152015,Awesome Very nice wnjoy
5,10152015,Good Super
4,10142015,Nice game It's awesome
5,10142015,Ml
5,10142015,Lv this game
4,10142015,Plant
5,10142015,Faryad Anjum V.nice this game
5,10142015,Fun Playing with
5,10142015,Veery gøód
5,10142015,I love this game
5,10142015,Coooool
5,10142015,I love teen patti
3,10142015,Ok
5,10142015,Masta Khara
5,10142015,Lovely
5,10142015,Good
5,10142015,Awesome For time paas this game is superb I m giving 5 star to this game
5,10142015,Shahid mehmood 123memon
5,10142015,Super
5,10142015,Nice But waste
3,10142015,ok ok
5,10142015,Nice But waste
3,10142015,ok ok
5,10142015,Mast Badhiya
5,10142015,dvd
5,10142015,Cooool
5,10142015,Right Now
1,10142015,Bhatti
5,10142015,I love this game Hasam
4,10142015,Good game Good
5,10142015,Time pass Bakwaas time kharaab
5,10142015,Rathod Vishal
1,10142015,Kisi randi ki olaad me konsa Teri sister ki choott mari mera account close kr di ya B.c meny 5 c.r Buy kiya tha mery chipss wais kr nai to police case kr do gaa
4,10142015,Good Nice gi
5,10142015,I love this game .
5,10142015,Very good game....
5,10142015,nice good
5,10142015,1.22 1.22
5,10142015,Nand
5,10142015,sandip wagh
5,10142015,Hie
5,10142015,Nice app Super
5,10142015,Amazing Briliant
5,10142015,Loved it It is a very good game I loved it
5,10142015,K
5,10142015,Nice Yes
5,10142015,I like this game
5,10142015,Fit fit Zabardast
5,10142015,Very nice app Lots of imotion and angry
5,10142015,super mast time pass
5,10142015,very funny dont't try just straight download ???????????????????????????????????????????????? very good very very good just minor mistakes like when we we just play then we can't invite someone & can't send gifts ....
5,10142015,Good game
5,10142015,Good
5,10142015,Ok 9k
5,10142015,Excellent Excellent
5,10142015,Kashyap Nice
5,10142015,Teen pati Very very sweet n advanced game.
5,10142015,Very good bomer
5,10142015,Gud time pass i found
5,10142015,awsme game
5,10142015,rehan awosame
5,10142015,Nice But waste
3,10142015,ok ok
5,10142015,Mast Badhiya
5,10142015,dvd
5,10142015,Cooool
5,10142015,Right Now
1,10142015,Bhatti
5,10142015,I love this game Hasam
4,10142015,Good game Good
5,10142015,Time pass Bakwaas time kharaab
5,10142015,Rathod Vishal
1,10142015,Kisi randi ki olaad me konsa Teri sister ki choott mari mera account close kr di ya B.c meny 5 c.r Buy kiya tha mery chipss wais kr nai to police case kr do gaa
4,10142015,Good Nice gi
5,10142015,I love this game .
5,10142015,Very good game....
5,10142015,nice good
5,10142015,Very nice app Lots of imotion and angry
5,10142015,super mast time pass
5,10142015,very funny dont't try just straight download ???????????????????????????????????????????????? very good very very good just minor mistakes like when we we just play then we can't invite someone & can't send gifts ....
5,10142015,Good game
5,10142015,Good
5,10142015,Ok 9k
5,10142015,Excellent Excellent
5,10142015,Kashyap Nice
5,10142015,Teen pati Very very sweet n advanced game.
5,10142015,Very good bomer
5,10142015,Gud time pass i found
5,10142015,awsme game
3,10142015,Love i Love you
5,10142015,mast hi... gajab
5,10142015,Gud game
5,10142015,Nycccc
5,10142015,Best game Thanks
5,10142015,Lucky
5,10142015,Super Nice
5,10142015,So best game golden teen patti Loved it.....much
4,10142015,Time pass Hahaha
4,10142015,Ali Khan Mehsud the best game of all time
5,10142015,Hassan Rana Ala game
5,10142015,teen patti very impresive
5,10142015,Behtreen game ?????? Game lajawab hai bs mere ye samjh nhi aya k dusron k pas celebrities ki profile pics kaha se ayi ???? Somebody tell me plz ?
5,10142015,Awsume
5,10142015,Download Playing
5,10142015,Best tp Fun to play
5,10142015,Superrr
5,10142015,Practical For real Game
5,10142015,Ali shiblee
5,10142015,Not happy I lose my chips all and level also admin why like that how can I back my chips
5,10142015,Good Gems
1,10142015,Hate it In VIP their are so many cheaterszz....!! Please do something
4,10142015,Good among the one Love this app
5,10142015,Nice Nice
5,10142015,love I like the game
5,10132015,M.z Mz
5,10132015,Teen patti Gud game
5,10132015,Good Wow
2,10132015,ShaktirajsinhChauhan 94094
5,10132015,Blood pressure This game a dangerous for those person ho are the pastaint
2,10132015,Theek hi h
5,10132015,my
5,10132015,I liked it Good
5,10132015,Good Best
3,10132015,Full maza
5,10132015,Good game
5,10132015,Navjot Brilliant
5,10132015,nice game but please speed no good
5,10132015,Amazing Superb
5,10132015,Muhammad Faizan Your game is too good
5,10132015,nice game but please speed no good
5,10132015,Amazing Superb
5,10132015,Muhammad Faizan Your game is too good
5,10132015,Addictive
5,10132015,KAMRAN I love about this game
5,10132015,I love it Its really good app.
1,10132015,I love it Its really good app.
5,10132015,I LOVE U
5,10132015,Marvellous game Best in brain games
5,10132015,ossom game.... teen patti rocks...total tympass
5,10132015,Superb G
5,10132015,I love this game Love this game
5,10132015,Shaan I love this game amezing
3,10132015,Good Very interesting
5,10132015,Faizan Ali
5,10132015,Love Love u so much
5,10132015,Nice timepass
5,10132015,Very nice game
5,10132015,Best Loved it
5,10132015,Loved it
4,10132015,Liked it Nice
5,10132015,Nice Very good
1,10132015,Why its not connecting to facebook Please fix it very quickly.
5,10132015,Khanzada1979 Khanzada1979
5,10132015,I love this game...
5,10132015,Cigh Fhf
5,10132015,Interesting game I love to play this game.
5,10132015,Bbb ChbcguNice
5,10132015,Lvu that app Hmmm nice game like that
5,10132015,plyy good game improved some further
2,10132015,Nice game
4,10132015,Tngoud
5,10132015,Nice game
5,10132015,Awsme
5,10132015,Sonu Solanki
5,10132015,Nice Hot game
5,10132015,Super To good
5,10132015,Nice I like it
4,10132015,Really good Joins friends any wher
5,10132015,Manish Opain the tiaps do not main
5,10132015,Manish Opain the tiaps do not main
5,10132015,Jai sai Rock
5,10132015,like
5,10132015,this is awesome
5,10132015,This teen pati game is number one Won
5,10132015,Awesome game
5,10132015,Good
5,10132015,Loved it
4,10132015,OK report Good game for friends and other
5,10132015,Very good Game
4,10132015,Super
5,10132015,Nice
5,10132015,Ok Ok
4,10132015,Nice Nice game
5,10132015,"Very nice Should add Smiley's also.. ""Just a thought"""
5,10132015,Nice Nice game.
5,10132015,Jhkkas Love it
1,10132015,Like Like
3,10132015,sagar bb
5,10132015,Awesome
5,10132015,very good app.
5,10122015,??? ?? ?? ????? ???
5,10/12/2015,I love teen patti Kota sonu
5,10122015,X gdhj Chrgjj
5,10122015,Awesom Lovley
5,10122015,Teenpitee Games
5,10122015,Nice
5,10122015,Nice game
5,10122015,Teenpati Loved it
5,10122015,Nice
5,10122015,Good for time pass
5,10122015,Awsome Superb game in online
5,10122015,"Its ama,zing"
5,10122015,Fantastic Amazing game of mind
5,10122015,Wow I love this game
5,10122015,Nice
2,10122015,"Timepaas Game will ask you rate 5 star, whenever you are winning more than 50K.....that frustrating...."
4,10122015,This game is too good. I like it
5,10122015,Lovely Aur life me kya chiye...
5,10122015,Ye bhi koi puchne wale bat hai Deserve 6stars
5,10122015,Excellent
5,10122015,Cool games I loved it
5,10122015,I love Dis game
4,10122015,Addiction too High Beware of this Killer addictive game.
5,10122015,Awesome
5,10122015,Rocking Mast re baba.... but download to ho nhi raha
5,10122015,Lol... It's fun
5,10122015,Awesome Awesome
5,10122015,Cool
2,10122015,Vivek
5,10122015,Nice
4,10122015,Good app! Since I like poker this iz awesome
5,10122015,I love it Good time pass
4,10122015,I love this app
5,10122015,mind game
1,10122015,Love Love for life
5,10122015,Nice
5,10122015,Ok
5,10122015,I.like it's I love the game
4,10122015,Its nice Boom boom fire
5,10122015,Sara Qwert
5,10122015,Super
5,10122015,baap game h bhai
5,10122015,narendra nice
5,10122015,Baap of games Gud to hv in games list
5,10122015,V.good game.l love very much.but sometime network. ........... over all i give 5 STARS* *****
5,10122015,Good... Nice game
5,10122015,i loved it full time passes
5,10122015,Fhadu game hai re baba
1,10122015,Good
4,10122015,This is a great game to play
5,10122015,It's really amazing.....I really love it.
5,10122015,Vbbbb Bbbbbb
2,10122015,bfrdr. fdbbrbd
5,10122015,Yfgui
5,10122015,Super Its interesting
3,10122015,Teen patti Good
5,10122015,Gh Tb
5,10122015,nice game achi h par patty achy nhi aty
4,10122015,Kalo Llamo
3,10122015,Good app
4,10122015,Bm yadav Very Nice
5,10122015,Nice app Pls daunload and play and enjoy
5,10122015,Aslam Nice game
5,10122015,Teen patti gold I like this game
5,10122015,Babar Babar
5,10122015,DEVAL NICE. GAME
5,10122015,I loved it Nice
5,10122015,Bilal
2,10122015,B Superb
5,10122015,Gaandu game Madarchod chootiya banate hain jab game phasa ho tabhi server busy ho jata hai
5,10122015,Great Addicted
5,10112015,about teen patti its a very interesting game. i everyone like it
5,10112015,Nice game
5,10112015,Ooooossssammm I lovr tihs game
5,10112015,lov da game but cant get chips wid out pay :(
4,10112015,Ton
5,10112015,I love You
4,10112015,Like It to be sayd look good
4,10112015,Not bad. good luck
4,10112015,Very good
5,10112015,Nic app
5,10112015,very nice wanted
1,10112015,I like teenpatti
5,10112015,? ? ? I LOVE THIS GAME ? BUT BAD LUCK IS ALWYS WITH ME ;-(
1,10112015,Excellent
5,10112015,I won 6cr in my first play.
5,10112015,Sooooooo nice Ayaz Saghar
4,10112015,Osm game I like it
5,10112015,Love it....its an awesume creation Luved it more than anything
2,10112015,Atif Ansari its getting hang and lost chips during game please upgrade it because its need it.
4,10112015,"I won't get proper bonus.. Daily it has some issues Simply awesome game, but still need to fix"
5,10112015,WOW How i can purchase chips plz solve
5,10112015,I love you
5,10112015,Good Game
5,10112015,Nice game This game helps me alot to leave using fb
5,10112015,Mian irfan Nice game
5,10112015,Good game Nice
5,10112015,Am loving it :p great work by the team perfect game
5,10112015,This is amazing
5,10112015,This is amazing
5,10112015,Teen pati Nice game
5,10112015,GOOD Very nice
5,10112015,Just awesome...
5,10112015,Hehehehehe Hahahahaha Nice game
4,10112015,Nice
5,10112015,The game is awesome Wow wow
5,10112015,5 Very nice
5,10112015,Good. Good game.
5,10112015,I love this game but some time only 1 sided ... Game was very nice M Shoaib
5,10112015,Awsome game
5,10112015,Good app I love this
5,10112015,Good Good
5,10112015,Good game
5,10112015,Teenpatti gold Good
5,10112015,Just loved it Best game ever I played in my life
3,10112015,Ok
5,10112015,Teen patti very good Good game
5,10112015,Good game
3,10112015,"Fun game. Got to know your limits Really fun game, like to have friends form different part of the world and play on same table. The most important thing is that once you start buying chips you lose faster just last night I bought 1 coror worth of chips and almost lost everything. System offers you frequently to buy more. You must know when to stop."
5,10112015,Jawanda Very nice game
5,10112015,Hyyyyy Hyyyyyyy
5,10112015,Very hot
5,10112015,Best This is the best game in the world
5,10112015,Fine
5,10112015,Nicee one Nice one
5,10112015,I can love very much
5,10112015,"I am a beautiful person. I am a little while, so if you're interested , I will not only did the last two days ago, but it is not a time. I have been in the future if you have you ever wondered how much I love it when I first"
5,10112015,Good Game
5,10112015,I love I love
5,10112015,Kismat
5,10112015,BALDEV PARMAR
5,10112015,Mannu Woooowwwwww
5,10112015,Nice game Guyzzz
5,10112015,vishal its good
5,10112015,Kandarp joshi This an interesting game
5,10112015,Superb game
5,10112015,Ali Ali Ali Ali
